Zgomot	SNR	G.729	Ramirez	Van Segbroeck	Sohn	
babble	20	28.4228	20.2808	19.0404	15.0524	
babble	15	24.2704	18.8625	18.5102	13.7631	
babble	10	20.1935	17.8591	17.9535	12.524	
babble	5	16.5454	16.9533	17.3109	11.4911	
babble	0	14.0604	16.1955	16.4806	10.8911	
babble	-5	59.1207	21.8122	13.3736	21.038	
factory1	20	29.0648	20.7031	19.1334	15.398	
factory1	15	24.9173	19.336	18.6091	14.0959	
factory1	10	20.831	18.4282	18.0684	12.8068	
factory1	5	17.0518	17.7464	17.4848	11.6146	
factory1	0	13.908	17.624	16.821	10.6731	
factory1	-5	12.7358	32.3947	15.5515	10.3516	
factory2	20	29.7009	21.1849	19.2418	15.6149	
factory2	15	25.24	19.8919	18.7313	14.3223	
factory2	10	21.1824	19.0243	18.2	13.031	
factory2	5	17.4941	18.4926	17.6517	11.8177	
factory2	0	14.5134	18.5992	17.0655	10.8655	
factory2	-5	14.8832	26.0747	16.4225	10.6055	
leopard	20	30.8009	21.5676	19.329	15.8303	
leopard	15	26.3952	20.3304	18.817	14.5106	
leopard	10	22.4732	19.526	18.2806	13.149	
leopard	5	18.4999	19.0922	17.7179	11.8247	
leopard	0	14.6692	19.3634	17.1111	10.6664	
leopard	-5	11.4396	25.8098	16.3295	9.6273	
volvo	20	32.5373	21.616	19.4556	16.0398	
volvo	15	27.8895	19.9225	18.967	14.7577	
volvo	10	23.7994	18.4641	18.4567	13.4319	
volvo	5	19.7516	17.3927	17.9395	12.1411	
volvo	0	16.0124	16.3708	17.3965	11.0293	
volvo	-5	13.2131	15.33	16.8441	10.1557	
